                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    129,                0.37593,                0.29998,                0.89998,                0.99411,                0.99347,                0.99227,                0.92408,                0.39806,                 0.2578,                0.90956,             0.00028176,             0.00028176,             0.00028176
                    130,                 0.3747,                0.28528,                0.88885,                  0.992,                0.99444,                0.99216,                0.91116,                0.42534,                0.26601,                0.90853,             0.00027796,             0.00027796,             0.00027796
                    131,                0.39823,                0.30768,                0.90908,                0.99124,                0.99444,                0.99195,                0.90654,                0.43696,                0.26246,                 0.9227,             0.00027415,             0.00027415,             0.00027415
                    132,                0.38183,                0.30879,                0.90417,                 0.9981,                0.99444,                0.99194,                0.90682,                0.44734,                0.25734,                0.93665,             0.00027034,             0.00027034,             0.00027034
                    133,                0.38317,                0.29275,                0.90283,                 0.9975,                0.99444,                0.99195,                0.91102,                0.44847,                0.26338,                0.93509,             0.00026654,             0.00026654,             0.00026654
                    134,                0.37123,                0.28867,                  0.896,                0.99743,                0.99444,                0.99192,                0.90942,                0.45563,                0.27357,                0.94724,             0.00026273,             0.00026273,             0.00026273
                    135,                0.38234,                0.29096,                0.88716,                0.99346,                0.99341,                0.99189,                0.91391,                0.45159,                0.26619,                0.94397,             0.00025892,             0.00025892,             0.00025892
                    136,                0.38992,                0.29822,                0.90483,                0.99135,                0.99345,                0.99206,                0.90601,                0.43307,                0.26914,                0.94314,             0.00025512,             0.00025512,             0.00025512
                    137,                0.36192,                0.28831,                0.88725,                 0.9947,                0.99402,                0.99213,                0.91237,                0.43337,                0.25824,                0.94644,             0.00025131,             0.00025131,             0.00025131
                    138,                0.37992,                0.29304,                0.89134,                0.99646,                0.99444,                0.99217,                0.91954,                0.42705,                0.24395,                0.93115,              0.0002475,              0.0002475,              0.0002475
                    139,                0.36997,                 0.2904,                0.89066,                0.99697,                0.99444,                0.99205,                0.91345,                0.43166,                0.24279,                0.93489,              0.0002437,              0.0002437,              0.0002437
                    140,                0.36395,                0.28044,                0.88658,                0.99706,                0.99444,                0.99198,                0.91482,                0.42488,                0.24431,                0.92685,             0.00023989,             0.00023989,             0.00023989
                    141,                0.36844,                0.29133,                0.88653,                0.99007,                0.99336,                0.99202,                0.92208,                0.41012,                0.25548,                0.91864,             0.00023608,             0.00023608,             0.00023608
                    142,                0.37499,                0.28583,                0.88885,                0.98965,                 0.9932,                0.99197,                0.91542,                0.43539,                0.25689,                0.93959,             0.00023228,             0.00023228,             0.00023228
                    143,                0.35462,                0.28036,                0.89068,                 0.9913,                0.99007,                0.99197,                0.90595,                0.44932,                0.26986,                0.94807,             0.00022847,             0.00022847,             0.00022847
